JobID|ProcID|System|SubmissionType|Group|Class|Nan|User|Nan2|Submission|Submit|Start|Stop|Elapsed|ExitCode|State|NNodes|NCpus|NProcs|ReqMem|Nan3|AllRequest|Timelimit|NodeList
23336324|23336324|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-01-09T19:07:15|2018-01-09T19:07:15|2018-01-09T19:07:17|2018-01-09T19:37:34|00:30:17|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp308
24765007|24765007|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-02-14T04:06:03|2018-02-14T04:06:03|2018-02-14T04:18:11|2018-02-14T04:48:24|00:30:13|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1122
25612406|25612406|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-03-11T23:06:21|2018-03-11T23:06:21|2018-03-11T23:20:27|2018-03-11T23:50:50|00:30:23|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1343
25612410|25612410|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-03-11T23:06:22|2018-03-11T23:06:22|2018-03-11T23:20:27|2018-03-11T23:50:51|00:30:24|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1321
25612414|25612414|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-03-11T23:06:22|2018-03-11T23:06:22|2018-03-11T23:20:27|2018-03-11T23:50:51|00:30:24|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1319
26829095|26829095|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:06:56|2018-04-25T21:06:56|2018-04-26T00:22:13|2018-04-26T00:52:33|00:30:20|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1025
26829099|26829099|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:06:56|2018-04-25T21:06:56|2018-04-26T00:22:13|2018-04-26T00:52:33|00:30:20|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1051
26829103|26829103|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:06:56|2018-04-25T21:06:56|2018-04-26T00:22:14|2018-04-26T00:52:33|00:30:19|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1057
26829108|26829108|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:07:35|2018-04-25T21:07:35|2018-04-26T00:22:14|2018-04-26T00:52:33|00:30:19|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1043
26829116|26829116|accre|production|h_vuiis|h_vuiis|36052|vuiiscci||2018-04-25T21:07:42|2018-04-25T21:07:42|2018-04-26T00:22:15|2018-04-26T00:52:33|00:30:18|1:0|TIMEOUT|1|1|1|4Gn||cpu=1,mem=4G,node=1|00:30:00|vmp1047
